"","Contig","total_PA"
"611","virus_comp_10370_cycle_1",3
"612","virus_comp_10384_cycle_1",3
"613","virus_comp_10448_cycle_1",3
"614","virus_comp_1046_cycle_1",3
"615","virus_comp_105_cycle_1",3
"616","virus_comp_10650_cycle_1",3
"617","virus_comp_1072_cycle_1",3
"618","virus_comp_1076_cycle_1",3
"619","virus_comp_1078_cycle_1",3
"620","virus_comp_10785_cycle_1",3
"621","virus_comp_10802_cycle_1",3
"622","virus_comp_1081_cycle_1",3
"623","virus_comp_10849_cycle_1",3
"624","virus_comp_10881_cycle_1",3
"625","virus_comp_10998_cycle_1",3
"626","virus_comp_11021_cycle_1",3
"627","virus_comp_11250_cycle_1",3
"628","virus_comp_11314_cycle_1",3
"629","virus_comp_11369_cycle_1",3
"630","virus_comp_11400_cycle_1",3
"631","virus_comp_11404_cycle_1",3
"632","virus_comp_11492_cycle_1",3
"633","virus_comp_11506_cycle_1",3
"634","virus_comp_11565_cycle_1",3
"635","virus_comp_1158_cycle_1",3
"636","virus_comp_11714_cycle_1",3
"637","virus_comp_118_cycle_1",3
"638","virus_comp_11808_cycle_1",3
"639","virus_comp_11863_cycle_1",3
"640","virus_comp_119_cycle_1",3
"641","virus_comp_11918_cycle_1",3
"642","virus_comp_11941_cycle_1",3
"643","virus_comp_11998_cycle_1",3
"644","virus_comp_12_cycle_1",3
"645","virus_comp_12028_cycle_1",3
"646","virus_comp_12203_cycle_1",3
"647","virus_comp_12222_cycle_1",3
"648","virus_comp_12228_cycle_1",3
"649","virus_comp_12359_cycle_1",3
"650","virus_comp_124_cycle_1",3
"651","virus_comp_12413_cycle_1",3
"652","virus_comp_1242_cycle_1",3
"653","virus_comp_12533_cycle_1",3
"654","virus_comp_12553_cycle_1",3
"655","virus_comp_12590_cycle_1",3
"656","virus_comp_12667_cycle_1",3
"657","virus_comp_1274_cycle_1",3
"658","virus_comp_1276_cycle_1",3
"659","virus_comp_12948_cycle_1",3
"660","virus_comp_13023_cycle_1",3
"661","virus_comp_13049_cycle_1",3
"662","virus_comp_1306_cycle_1",3
"663","virus_comp_13073_cycle_1",3
"664","virus_comp_13123_cycle_1",3
"665","virus_comp_13143_cycle_1",3
"666","virus_comp_13163_cycle_1",3
"667","virus_comp_13245_cycle_1",3
"668","virus_comp_13508_cycle_1",3
"669","virus_comp_13580_cycle_1",3
"670","virus_comp_13696_cycle_1",3
"671","virus_comp_13701_cycle_1",3
"672","virus_comp_13732_cycle_1",3
"673","virus_comp_13750_cycle_1",3
"674","virus_comp_13763_cycle_1",3
"675","virus_comp_13779_cycle_1",3
"676","virus_comp_13799_cycle_1",3
"677","virus_comp_13980_cycle_1",3
"678","virus_comp_1402_cycle_1",3
"679","virus_comp_1403_cycle_1",3
"680","virus_comp_14090_cycle_1",3
"681","virus_comp_14196_cycle_1",3
"682","virus_comp_14413_cycle_1",3
"683","virus_comp_14420_cycle_1",3
"684","virus_comp_14467_cycle_1",3
"685","virus_comp_14473_cycle_1",3
"686","virus_comp_14586_cycle_1",3
"687","virus_comp_14593_cycle_1",3
"688","virus_comp_14678_cycle_1",3
"689","virus_comp_1470_cycle_1",3
"690","virus_comp_14754_cycle_1",3
"691","virus_comp_1483_cycle_1",3
"692","virus_comp_14830_cycle_1",3
"693","virus_comp_14930_cycle_1",3
"694","virus_comp_14951_cycle_1",3
"695","virus_comp_14977_cycle_1",3
"696","virus_comp_15001_cycle_1",3
"697","virus_comp_15077_cycle_1",3
"698","virus_comp_1509_cycle_1",3
"699","virus_comp_15110_cycle_1",3
"700","virus_comp_15240_cycle_1",3
"701","virus_comp_15281_cycle_1",3
"702","virus_comp_1534_cycle_1",3
"703","virus_comp_15374_cycle_1",3
"704","virus_comp_1545_cycle_1",3
"705","virus_comp_15454_cycle_1",3
"706","virus_comp_15603_cycle_1",3
"707","virus_comp_15648_cycle_1",3
"708","virus_comp_1567_cycle_1",3
"709","virus_comp_1568_cycle_1",3
"710","virus_comp_15720_cycle_1",3
"711","virus_comp_15731_cycle_1",3
"712","virus_comp_15782_cycle_1",3
"713","virus_comp_15791_cycle_1",3
"714","virus_comp_15804_cycle_1",3
"715","virus_comp_15824_cycle_1",3
"716","virus_comp_15843_cycle_1",3
"717","virus_comp_15872_cycle_1",3
"718","virus_comp_15896_cycle_1",3
"719","virus_comp_1590_cycle_1",3
"720","virus_comp_15905_cycle_1",3
