"","T0-72","T0-66","T0-60","T0-54","T0-48","T0-42","T0-36","T0-30","T0-24","T0-18","T0-12","T0-6","T0"
"edge_2654_4",-8.40930747828522,-8.3066135035744,-8.19604549379643,-8.07629494727789,-7.22698495144743,-6.54983082560017,-6.49061933055355,-5.7200390856688,-5.64104686160088,-4.67172553266954,0.860135684264609,5.4585081996521,5.90005789492455
"virus_comp_3620_cycle_1_1",-10.5453003264487,-10.5218808172796,-10.4980748533012,-10.4738694661229,-7.92113266142217,6.85228234737468,-8.38365260745578,-7.35862681602965,-8.73594286044349,-8.88489456993412,-8.46126766391103,-8.85820237492484,-8.69021293764431
"virus_comp_9681_cycle_1_1",4.39267660819474,4.10134877122293,3.73591212189467,3.24531107167066,4.90900571104817,5.22748019087191,4.94538437873562,4.95886126450269,4.01497750217128,4.73819088593078,3.82149036916596,3.60198206228314,2.82303698913923
"virus_comp_2216_cycle_1_11",-7.44051610690261,-7.1758279110095,-6.85141557101768,-6.4322281334341,-7.13373761503971,-7.27664713816772,-8.07038304814731,-8.15869186843497,-7.52274100611787,-7.68191676008946,-6.69310975625842,-6.46969961866589,-6.16909022409867
"edge_1468_77",2.20157448728185,2.11430598837249,2.02141680699073,1.92213277572347,1.73000462750947,1.2771411118111,1.98457878055583,1.94899224753354,1.98949987796568,2.20056599683202,1.75325209693961,0.608574655155309,1.13726502069427
"edge_1468_73",-10.8927714680973,-10.6753971414918,-10.4193588735782,-10.1078617813251,-10.6876139627887,-10.7579991121799,-10.5595166733195,-10.4000018848466,-9.83874458773845,-9.47184757848888,-8.11150185449395,-7.20308575821491,7.10112757587896
"virus_comp_17935_cycle_1_22",0.90003283372542,2.31360276715591,3.01370360414541,3.48303824804665,-3.28166299876003,-3.32414157753843,3.05096597541978,3.24932209010181,4.06545481829877,3.93520803040698,3.80616576810569,4.07862047800365,4.51879194355707
"virus_comp_16893_cycle_1_2",0.234955340231954,0.686058800079033,1.0292014813325,1.30620759386992,-2.11250370728947,-3.70482071807323,-2.9012980465722,-3.06569229341142,-2.68535708285521,-2.86056872355272,-1.55015969591829,-2.93976917611699,-2.13906355606363
"edge_2658_1",-9.16186585496112,-9.05472834939019,-8.93899173673949,-8.81315423651386,-8.00537176233622,-7.37602765293191,-7.27929201047343,-6.53604624722952,-6.39157866547168,-5.41577771177537,2.34866504911496,6.23167921052323,6.70895169541802
"virus_comp_18196_cycle_1_4",10.1194498018238,9.96217794324554,9.78563981093574,9.58444734897607,9.56475332545517,9.36590458081245,8.86417571594171,8.50357727153934,8.0302716818291,7.47724697950057,6.02830775124753,-6.3579960039511,-7.58773015459385
"edge_4_69",4.28812101140242,4.07471556934955,3.82416961949708,3.52077382314726,3.74122129278045,3.66296994185954,3.03883591842913,2.66965969362495,1.68520966496976,1.14911728882114,-1.76364388400264,-2.51280489595132,-3.13184607351301
"virus_comp_155_cycle_2_24",-7.73778438129951,-7.44224990026883,-7.07015628274951,-6.56742704058345,-4.65258363717848,-2.69346831395669,-7.16821313651372,-7.0949280645034,-5.03856054806855,-6.67058097680843,4.71477188790497,-3.64450578468288,6.06723836928413
"virus_comp_2349_cycle_1_4",-6.38592093675242,-5.86919001746254,-5.05642656786634,-3.01798827438104,5.71175849211974,6.03625493748333,5.94466923015981,6.47711300353877,7.0807685558576,7.44310138298272,7.66537185123508,7.32344681188331,7.72408463708536
"virus_comp_330_cycle_1_48",-0.393539173909528,-0.253350765733341,-0.098059346807129,0.0721838757045095,-0.484794851956976,-0.540946534562834,-0.0917587315976977,0.0765995594498132,0.418274602123893,0.493061900834451,0.621782398590908,0.795067344371811,0.889193162897281
"virus_comp_138_cycle_1_1",-9.15923522723291,-8.82196843036834,-8.38099836444269,-7.74272897112036,-6.24175251711809,-3.82730511793024,-6.22013207436406,2.24187725060084,5.72942962710451,6.99183205416165,8.62430629824812,9.08973714638516,9.33919339637217
"virus_comp_3621_cycle_1_3",-3.16951232091184,-3.0356922718843,-2.88817846872551,-2.72384550656761,-2.43914875474055,-2.36418395167397,-2.59391682257014,-2.51420705138426,-2.01819515583027,-1.84487348234008,-1.249380022138,-3.75411999925136,-2.72511913949855
"virus_comp_155_cycle_1_114",6.7700962076516,6.71403306938334,6.65570292452639,6.59491467832907,8.75764680389383,8.97469673704937,8.14414516811793,8.21117182199977,8.19054100111588,7.1970617927118,7.75958282965749,6.83712865775987,7.54902792892754
"virus_comp_2385_cycle_1_3",11.3835675960178,11.2596383276421,11.1240543962809,10.9743940080253,10.9698066220212,11.1346311552791,11.1174594885547,10.978846714452,10.7108081183505,10.8554966059786,9.78652823347,9.69242578295567,9.39417242272708
"edge_1990_4",-4.12352521366053,-3.53010038705724,-2.50441144830308,1.14004636988204,-5.13938326054379,-5.61679028426424,-4.94824568688793,-4.93568384593059,-4.16662887281334,-4.08930071138252,-2.53199644841976,-2.66987096587311,2.47931895451423
"virus_comp_2191_cycle_1_9",-6.54867126481365,-7.43208174958147,-7.97598890810316,-8.37005213530245,8.20250435893933,8.98023603925322,10.0430853238394,10.1917188383324,-8.33841283886676,-8.57160107041116,-8.58369648723717,-6.34547096397318,-8.65035865612076
"edge_303_3",-1.82816291136236,-1.38792509878465,-0.75120167841808,0.322657079738604,-2.79189657530031,-3.126903625476,-2.78333821039904,-2.9399361160792,-1.90854419331121,-3.74104839284763,-2.76590454175878,-2.3271282678764,-1.63122568868857
"virus_comp_2589_cycle_1_3",-2.81498913675442,-1.80264087300997,1.0426268284559,2.48762328272304,-5.8683808810698,-6.16135029712749,-5.62731722163798,-5.6799445101182,-5.20641138686026,-4.66923473538773,-4.86336668243519,-4.90645318958867,-4.67817118284087
"edge_1512_14",-1.51401663336767,-1.34366568170813,-1.150472768631,-0.927349576696298,-1.39496588901055,-1.30489890539126,-0.663185054587574,-0.517991149843748,-0.0323775900582693,0.328912290162649,1.92049260030938,1.20036429710524,2.12179230744447
"virus_comp_99_cycle_1_3",-3.6862052080862,-4.01302072650795,-4.27930424045443,-4.50401298144206,3.91490673453797,6.55044876816462,6.08403886454186,6.23875692360076,5.82100482837649,6.324326006139,4.64999454041795,7.1386437336187,6.37263192356799
"virus_comp_64_cycle_1_3",-1.00330271463269,-0.882135390497494,-0.749850774467946,-0.604200813534675,-0.883634068363998,-0.858567693927539,-0.861912482653146,-0.846935095151822,-0.4960648012625,-0.422323550555295,-0.0654510290817774,0.583237714928498,0.514644685304401
"virus_comp_36_cycle_2_21",-5.40078695758599,-5.15214563214891,-4.85154145089415,-4.47135801590556,-5.04674220497593,-5.19674973444516,-4.74939652897551,-4.57200047857141,-3.51114634022701,-2.97871301143417,1.89468700622893,1.48621427792663,3.75153861150433
"virus_comp_921_cycle_1_10",5.08329731172293,4.84141850706468,4.55065327619633,4.18610315419959,4.99628293208182,5.13031814971775,4.91142514095845,4.82643616630805,3.69080953834434,4.53557177241101,3.20505052802104,1.23010175967876,-2.0855452356459
"virus_comp_155_cycle_1_52",6.65444180924376,6.55522781548757,6.44868369146064,6.33363927997915,8.52323459137929,8.7299414856851,7.91025922512576,7.97628434219109,7.90962265964593,6.85932272458443,7.44784611405122,6.44277913997769,7.16773586152833
"edge_1847_33",7.49113811593954,7.25144413870259,6.96383358737116,6.60423801450233,8.15779014855752,8.20707239404134,7.29327697820678,7.24926914319372,6.81545868937288,4.51969804558463,5.73100008630889,2.50511056314286,-3.0879388646008
"virus_comp_301_cycle_1_87",6.52718976718316,6.48499444985931,6.44152774385847,6.39671064605406,6.51814869549794,6.39261151895042,6.11796640417777,6.06996425329053,6.2161265406954,6.29418017804093,6.25950114182004,5.64716659186576,5.82032781758732
"virus_comp_17935_cycle_1_3",-1.30629709730184,1.05435702816969,2.20996628348385,2.8432797630643,-3.25624341103511,-3.24420124037335,1.96965326377623,2.23253762892135,3.35663074886675,3.18246265271801,3.18021478409389,3.78031198320722,4.10128695391357
