,logFC,AveExpr,t,P.Value,adj.P.Val,B
virus_comp_2640_cycle_1_3,0.0592566622635766,0.71052598688219,4.04268594562882,9.79831415750769e-05,0.000698934489811999,1.02677902440478
virus_comp_34_cycle_1_8,0.0539211818887112,0.401463635817198,4.0177415050468,0.000100150045084897,0.000711793684067024,1.02456054796294
virus_comp_62_cycle_1_1,0.0607807980471152,0.255872593786975,4.07703444597466,0.000104410925659504,0.000730270505439472,1.01961975830584
virus_comp_18259_cycle_1_1,0.064567878666134,0.377175797190062,4.14910888921238,0.000109329707174445,0.000751196253623159,1.01955330906585
virus_comp_99_cycle_1_2,0.0941649898831356,1.16665335540425,4.00340288982888,0.000106945970617281,0.000741226594225092,1.0171604441845
virus_comp_752_cycle_1_10,0.0880732690389457,0.264530557114316,4.24205196198485,0.000116925449804127,0.000785329180900917,1.01473778869454
virus_comp_2343_cycle_1_6,0.0908174316748703,0.309134097537186,4.59992954109002,0.000144981923543422,0.000912615682981058,1.00803241037809
virus_comp_2063_cycle_1_8,0.0907899668970162,0.561266642008556,4.83620500670958,0.000164388812519365,0.000982324941696905,1.00728379220508
edge_1468_83,0.105253069926033,0.520176212767807,4.00976047065184,0.000104431110908331,0.000730270505439472,0.995582907530657
edge_3739_21,0.0578526171920264,0.3165248149961,3.99975686001525,0.000102707509677284,0.000723393973564874,0.992468318962777
virus_comp_590_cycle_2_58,0.0843197963198767,0.502729996311497,4.39794887803733,0.000137819055521214,0.000883705561813111,0.980517902798745
virus_comp_17959_cycle_1_1,0.0941100262210023,0.248613536012397,4.62249528137813,0.000153176234209272,0.000944328921978098,0.98012072198164
virus_comp_152_cycle_1_6,0.118443303105317,0.844798544168941,4.32156133873599,0.000136454165788903,0.000877301536297404,0.97369744863992
virus_comp_155_cycle_2_152,0.0776685467735481,0.509421386509102,4.4897943195514,0.000144269518385971,0.000912449569827115,0.973272591692989
virus_comp_155_cycle_2_87,0.0781386646161754,0.539864841562901,4.47763628283558,0.000148855541734287,0.00092803239655395,0.944310254871479
edge_1468_30,0.067119635774089,0.204845660459234,4.22512015301377,0.000127198136264838,0.000827714272923003,0.941491050641692
edge_1468_65,0.0655573118315769,0.204466421720024,4.21374644075651,0.000127738442122631,0.000829451113384326,0.933747796292992
edge_1847_9,0.0860533417126356,0.380016640741893,4.80093178252369,0.000176922126721985,0.0010291496924944,0.92941824724982
virus_comp_1260_cycle_2_5,0.0981260462351434,0.334851854101093,4.03889966553627,0.000114824674414305,0.000776166685371542,0.921501570053547
virus_comp_16658_cycle_1_1,0.0822941861556583,0.376348830992326,3.96936646277565,0.000111532431836978,0.000762799344002172,0.920486965636504
virus_comp_167_cycle_1_1,0.119085857751822,0.824008915770711,4.30109877116676,0.000144722111356565,0.000912449569827115,0.919005560401217
virus_comp_62_cycle_1_20,0.0589713656770198,0.213946666984777,4.17951404615407,0.000127259216686294,0.000827714272923003,0.918550721469216
virus_comp_699_cycle_1_14,0.0748806833252306,0.255447904910357,3.98590663647242,0.000112009931813059,0.000762799344002172,0.917477389194641
edge_2044_9,0.0665580859063702,0.37645798747877,3.97136101843222,0.000111942940144841,0.000762799344002172,0.915517334332772
edge_1468_44,0.0806370144618266,0.303826768853173,3.98345552146188,0.000112227471561369,0.000762951628405895,0.91267087799238
virus_comp_2063_cycle_1_9,0.0916896115124239,0.544897183327899,4.78739032179681,0.000181989667210855,0.00104471865542857,0.909265011207591
virus_comp_1505_cycle_1_5,0.0586767000417649,0.20255122903372,4.20544066939674,0.000131092339236551,0.000848410519992844,0.906013235129313
virus_comp_126_cycle_1_37,0.0961957445604146,0.313651332129707,4.3117421376406,0.000140361899237653,0.000892275848992829,0.903930340657264
virus_comp_17860_cycle_1_59,0.0641645558452613,0.234160782702363,4.03614494741954,0.000117814363667198,0.000788589636258693,0.903625482490262
virus_comp_155_cycle_2_157,0.0739041295071119,0.286216921027578,4.46279419245882,0.000154651605079717,0.000946061227318641,0.898329842363654
virus_comp_2063_cycle_1_1,0.0905021626004546,0.615046156668618,4.7794076827703,0.000185046270105203,0.00105137481081575,0.895416246679329
virus_comp_169_cycle_1_8,0.104481150412469,0.585907508374644,4.2927593002087,0.000148231419295781,0.000927098588843536,0.889117706935918
virus_comp_18126_cycle_1_4,0.10268163317852,0.314653449190789,4.26600962197882,0.000139928505090325,0.000892275848992829,0.882238245882848
edge_1990_1,0.0652942869939441,0.229877716503064,3.98895983060515,0.000117286378109998,0.000786402147567722,0.881730577334574
virus_comp_9870_cycle_1_4,0.0725273949036208,0.195965580408952,4.31722469262662,0.000145359627919142,0.000913522163241036,0.876829113044032
virus_comp_155_cycle_1_188,0.0776048099719393,0.483304524058626,4.44742238277248,0.000160891943753443,0.000967579397126476,0.868541670251226
virus_comp_1613_cycle_1_4,0.0827236408487273,0.259458091985542,4.41920799926014,0.000160133008562868,0.000964499122453393,0.859113922475697
edge_1468_33,0.0841948605323135,0.230806808037457,3.99763187492974,0.000121425524059205,0.00080556314355667,0.855329616406795
edge_1468_41,0.0978170717392897,0.478777313467344,4.00200305198794,0.000124754922200567,0.000818233206177878,0.855125089816992
virus_comp_3226_cycle_1_8,0.0725949747051862,0.219550579961709,4.37618400003048,0.000155980164396815,0.000949729692565656,0.853330011429065
virus_comp_155_cycle_2_56,0.0778208090829227,0.494626445337845,4.43818584426385,0.000164761742564186,0.000982324941696905,0.846233077348499
virus_comp_17819_cycle_1_1,0.118625193308802,0.337385100256625,4.16107892993763,0.000138494467129257,0.000886047253696015,0.843972209245795
edge_1468_77,0.081311898696104,0.31645266967153,3.97445535012543,0.000124305891077377,0.000817873461364623,0.833409447141424
virus_comp_1830_cycle_1_4,0.0814315723972133,0.190145968727924,4.00081498577137,0.000126122330099806,0.000823058745175527,0.832242481664931
edge_1468_16,0.0802499444335544,0.463397752536847,3.93692306173933,0.000121586660194023,0.00080556314355667,0.831584077920128
edge_4_52,0.0943903967818394,0.725624635864757,3.93249371557517,0.000123927689312178,0.000816919624825135,0.824859911812974
virus_comp_2391_cycle_1_8,0.082340214008895,0.617805538434011,4.74065698529264,0.000200647305122885,0.00111252527053242,0.816164664046604
virus_comp_126_cycle_1_91,0.0970228102043812,0.318940294104571,4.27840488525021,0.000154469033745795,0.000946061227318641,0.813820418074419
virus_comp_2106_cycle_1_4,0.111172707787494,0.466943026409745,4.39298064775023,0.00017151345010387,0.00100818958865568,0.808467675362297
virus_comp_5915_cycle_1_5,0.0881925486836007,0.265052464408863,4.33254182670435,0.000164863826416599,0.000982324941696905,0.801177940895553
edge_1847_40,0.0804084993353338,0.44151832526609,4.54402850560286,0.000184372803255958,0.00104907319931228,0.799426818492146
virus_comp_18353_cycle_1_1,0.0607756036898205,0.296203097696193,3.96234499162348,0.000129390829377536,0.000838787316810597,0.788668374612933
virus_comp_17860_cycle_1_54,0.0928698924325783,0.335561199831645,4.05898005952199,0.000139267047158508,0.000889534129644784,0.784408305699348
virus_comp_14288_cycle_1_2,0.0916367985402764,0.216057982227488,4.66942645678088,0.000201211101007098,0.00111275568715567,0.77643493010638
edge_1633_5,0.0825563866455365,0.238503063101354,4.25161576539448,0.000159245113067586,0.000962054911493829,0.774841899936345
edge_4_67,0.0644874527681873,0.341975652726124,4.01690306687291,0.000137902377259145,0.000883705561813111,0.773529315667727
virus_comp_2223_cycle_1_10,0.103614679195593,1.06467497779828,4.17393953870484,0.000158880115259533,0.000962054911493829,0.773396609701333
virus_comp_169_cycle_1_9,0.115992857601471,0.749144568137838,4.33110121602231,0.000176165646702683,0.00102627647237077,0.767999328580454
virus_comp_1260_cycle_2_1,0.0956949984952345,0.305811167826931,3.99591049344368,0.000135986046888939,0.000875732219586262,0.765751930729757
edge_1847_10,0.0810990716893142,0.387391880034082,4.52944146433414,0.000190842441590061,0.00107184354048211,0.765486487639788
