"orf_id","effect","component","group","term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"edge_1468_43","fixed","cond",NA,"SexMale",1.48566196094828,NA,NA,NA,NA,NA
"edge_1468_43","fixed","cond",NA,"Age.at.Gluten.Introduction..months.",0.292656633967103,NA,NA,NA,NA,NA
"edge_1468_43","fixed","cond",NA,"HLA.CategoryHigh Risk",-2.6834695411811,NA,NA,NA,NA,NA
"edge_1468_43","fixed","cond",NA,"HLA.CategoryLow/No Risk",-245.388862897273,NA,NA,NA,NA,NA
"edge_1468_43","fixed","cond",NA,"feeding_first_yearFormula",0.367394769307653,NA,NA,NA,NA,NA
"edge_1468_43","fixed","cond",NA,"feeding_first_yearBreastmilk_and_formula",-0.863944325021754,NA,NA,NA,NA,NA
"edge_1468_43","fixed","cond",NA,"Delivery.ModeC-Section",-0.433520757372987,NA,NA,NA,NA,NA
"edge_1468_43","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-6",-10.3126644555508,NA,NA,NA,NA,NA
"edge_1468_43","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-12",-180.867348677778,NA,NA,NA,NA,NA
"edge_1468_43","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-18",105.517433886788,NA,NA,NA,NA,NA
"edge_1468_43","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-24",-89.0084712610473,NA,NA,NA,NA,NA
"edge_1468_43","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-30",-179.086200987896,NA,NA,NA,NA,NA
"edge_1468_43","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-36",-89.0973220145856,NA,NA,NA,NA,NA
"edge_1468_43","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-over42",-3.09102476919343,NA,NA,NA,NA,NA
"edge_1468_43","ran_pars","cond","patientID","sd__(Intercept)",12.6495352187796,NA,NA,NA,NA,NA
"edge_1468_44","fixed","cond",NA,"(Intercept)",-41.5866712563821,NA,NA,NA,NA,NA
"edge_1468_44","fixed","cond",NA,"Dx.StatusCELIAC",38.7214406679558,NA,NA,NA,NA,NA
"edge_1468_44","fixed","cond",NA,"onset_timeline_combinedt0-6",-15.6134791419922,NA,NA,NA,NA,NA
"edge_1468_44","fixed","cond",NA,"onset_timeline_combinedt0-12",39.6692090329054,NA,NA,NA,NA,NA
"edge_1468_44","fixed","cond",NA,"onset_timeline_combinedt0-18",39.3303361736933,NA,NA,NA,NA,NA
"edge_1468_44","fixed","cond",NA,"onset_timeline_combinedt0-24",39.1572587882006,NA,NA,NA,NA,NA
"edge_1468_44","fixed","cond",NA,"onset_timeline_combinedt0-30",-24.0652691358705,NA,NA,NA,NA,NA
"edge_1468_44","fixed","cond",NA,"onset_timeline_combinedt0-36",39.2045359907478,NA,NA,NA,NA,NA
