"contig_id","effect","component","group","term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"edge_48666","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-36",-2.71618166280481,NA,NA,NA,NA,NA
"edge_48666","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-over42",32.4313246440399,NA,NA,NA,NA,NA
"edge_48666","ran_pars","cond","patientID","sd__(Intercept)",1.46645679248006,NA,NA,NA,NA,NA
"edge_48806","fixed","cond",NA,"(Intercept)",-18.1700767437893,NA,NA,NA,NA,NA
"edge_48806","fixed","cond",NA,"Dx.StatusCELIAC",2.46960521704265,NA,NA,NA,NA,NA
"edge_48806","fixed","cond",NA,"onset_timeline_combinedt0-6",-25.5434998037187,NA,NA,NA,NA,NA
"edge_48806","fixed","cond",NA,"onset_timeline_combinedt0-12",-3.54801362381596,NA,NA,NA,NA,NA
"edge_48806","fixed","cond",NA,"onset_timeline_combinedt0-18",-36.016356824125,NA,NA,NA,NA,NA
"edge_48806","fixed","cond",NA,"onset_timeline_combinedt0-24",-1.45618403663694,NA,NA,NA,NA,NA
"edge_48806","fixed","cond",NA,"onset_timeline_combinedt0-30",-1.47881533907484,NA,NA,NA,NA,NA
"edge_48806","fixed","cond",NA,"onset_timeline_combinedt0-36",-42.5767592510076,NA,NA,NA,NA,NA
"edge_48806","fixed","cond",NA,"onset_timeline_combinedt0-over42",-38.9659734337521,NA,NA,NA,NA,NA
"edge_48806","fixed","cond",NA,"SexMale",-1.87657358622963,NA,NA,NA,NA,NA
"edge_48806","fixed","cond",NA,"Age.at.Gluten.Introduction..months.",0.92192295565049,NA,NA,NA,NA,NA
"edge_48806","fixed","cond",NA,"HLA.CategoryHigh Risk",0.509314157010863,NA,NA,NA,NA,NA
"edge_48806","fixed","cond",NA,"HLA.CategoryLow/No Risk",-117.64038851073,NA,NA,NA,NA,NA
"edge_48806","fixed","cond",NA,"feeding_first_yearFormula",-18.4926258263705,NA,NA,NA,NA,NA
"edge_48806","fixed","cond",NA,"feeding_first_yearBreastmilk_and_formula",5.72350379964123,NA,NA,NA,NA,NA
"edge_48806","fixed","cond",NA,"Delivery.ModeC-Section",1.45010620737387,NA,NA,NA,NA,NA
"edge_48806","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-6",-18.0585453129232,NA,NA,NA,NA,NA
"edge_48806","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-12",1.72460128666962,NA,NA,NA,NA,NA
"edge_48806","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-18",-10.5205956429134,NA,NA,NA,NA,NA
"edge_48806","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-24",2.42704201603112,NA,NA,NA,NA,NA
"edge_48806","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-30",-1.47086518610914,NA,NA,NA,NA,NA
"edge_48806","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-36",-5.19099610562419,NA,NA,NA,NA,NA
"edge_48806","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-over42",-8.81043236574595,NA,NA,NA,NA,NA
"edge_48806","ran_pars","cond","patientID","sd__(Intercept)",6.30446529718167,NA,NA,NA,NA,NA
"edge_61","fixed","cond",NA,"(Intercept)",-37.085000209236,NA,NA,NA,NA,NA
"edge_61","fixed","cond",NA,"Dx.StatusCELIAC",29.5904145247099,NA,NA,NA,NA,NA
"edge_61","fixed","cond",NA,"onset_timeline_combinedt0-6",30.3308820518907,NA,NA,NA,NA,NA
"edge_61","fixed","cond",NA,"onset_timeline_combinedt0-12",-37.9850227972837,NA,NA,NA,NA,NA
"edge_61","fixed","cond",NA,"onset_timeline_combinedt0-18",29.6063186145315,NA,NA,NA,NA,NA
"edge_61","fixed","cond",NA,"onset_timeline_combinedt0-24",29.3582179757855,NA,NA,NA,NA,NA
"edge_61","fixed","cond",NA,"onset_timeline_combinedt0-30",21.2687043637791,NA,NA,NA,NA,NA
"edge_61","fixed","cond",NA,"onset_timeline_combinedt0-36",29.2701595858492,NA,NA,NA,NA,NA
"edge_61","fixed","cond",NA,"onset_timeline_combinedt0-over42",-50.1818714897384,NA,NA,NA,NA,NA
"edge_61","fixed","cond",NA,"SexMale",0.0648135829337877,NA,NA,NA,NA,NA
"edge_61","fixed","cond",NA,"Age.at.Gluten.Introduction..months.",-0.206470770435617,NA,NA,NA,NA,NA
"edge_61","fixed","cond",NA,"HLA.CategoryHigh Risk",-0.0997436583525016,NA,NA,NA,NA,NA
"edge_61","fixed","cond",NA,"HLA.CategoryLow/No Risk",-25.0830432577879,NA,NA,NA,NA,NA
"edge_61","fixed","cond",NA,"feeding_first_yearFormula",-45.5521161019382,NA,NA,NA,NA,NA
"edge_61","fixed","cond",NA,"feeding_first_yearBreastmilk_and_formula",0.992053389992987,NA,NA,NA,NA,NA
